word,monthyear,stateCode,Region,cases,totalTokens,tokenProp
anime,2013-10-01,WY,West,2,78088,2.5612129904722878e-5
anime,2013-11-01,AL,South,19,8134004,2.3358729599837913e-6
anime,2013-11-01,AR,South,5,1485877,3.365016081411853e-6
anime,2013-11-01,AZ,West,50,10432655,4.792643866781754e-6
anime,2013-11-01,CA,West,533,66141817,8.058442059431176e-6
anime,2013-11-01,CO,West,16,5681536,2.8161398607700455e-6
anime,2013-11-01,CT,Northeast,32,6878699,4.652042486522524e-6
anime,2013-11-01,DE,South,5,513098,9.744727128150958e-6
anime,2013-11-01,FL,South,166,31032596,5.349214097331722e-6
anime,2013-11-01,GA,South,117,15455728,7.570008996017528e-6
anime,2013-11-01,IA,Midwest,10,3274738,3.053679408856525e-6
anime,2013-11-01,ID,West,3,1201849,2.496153842953649e-6
anime,2013-11-01,IL,Midwest,5,3537786,1.413313298204018e-6
anime,2013-11-01,IN,Midwest,19,7016913,2.7077434193640425e-6
anime,2013-11-01,KS,Midwest,7,2653538,2.637987471820641e-6
anime,2013-11-01,KY,South,6,2301479,2.6070192254632783e-6
anime,2013-11-01,LA,South,22,8969593,2.452731132839584e-6
anime,2013-11-01,MA,Northeast,16,2207032,7.249555058558281e-6
anime,2013-11-01,MD,South,29,6572846,4.412091809240624e-6
anime,2013-11-01,ME,Northeast,4,1089054,3.6729124542951957e-6
anime,2013-11-01,MI,Midwest,88,19673333,4.473060055456796e-6
anime,2013-11-01,MN,Midwest,3,948144,3.164076342834e-6
anime,2013-11-01,MO,Midwest,13,1416211,9.179423122684403e-6
anime,2013-11-01,MS,South,5,1559558,3.206036582159817e-6
anime,2013-11-01,MT,West,3,261594,1.1468152939287598e-5
anime,2013-11-01,NC,South,26,10108283,2.5721480097064952e-6
anime,2013-11-01,ND,Midwest,0,139443,0
anime,2013-11-01,NE,Midwest,6,799695,7.5028604655524915e-6
anime,2013-11-01,NH,Northeast,2,475130,4.209374276513796e-6
anime,2013-11-01,NJ,Northeast,5,2142849,2.3333422000336936e-6
anime,2013-11-01,NM,West,12,1839609,6.523125294559877e-6
anime,2013-11-01,NV,West,84,5966217,1.4079273348589232e-5
