date,stateCode,totalTokens,dataDay
2013-10-16,WA,265525,10
2013-10-16,WI,180898,10
2013-10-16,WV,60796,10
2013-10-16,WY,3355,10
2013-10-17,AL,261734,11
2013-10-17,AR,44138,11
2013-10-17,AZ,332200,11
2013-10-17,CA,2023643,11
2013-10-17,CO,165326,11
2013-10-17,CT,192606,11
2013-10-17,DE,18154,11
2013-10-17,FL,919286,11
2013-10-17,GA,489973,11
2013-10-17,IA,112037,11
2013-10-17,ID,30445,11
2013-10-17,IL,113688,11
2013-10-17,IN,211897,11
2013-10-17,KS,84285,11
2013-10-17,KY,69252,11
2013-10-17,LA,258648,11
2013-10-17,MA,73157,11
2013-10-17,MD,188858,11
2013-10-17,ME,33709,11
2013-10-17,MI,612138,11
2013-10-17,MN,33197,11
2013-10-17,MO,45354,11
2013-10-17,MS,38289,11
2013-10-17,MT,7548,11
2013-10-17,NC,317018,11
2013-10-17,ND,3981,11
2013-10-17,NE,25005,11
2013-10-17,NH,17258,11
2013-10-17,NJ,60772,11
2013-10-17,NM,53143,11
2013-10-17,NV,172502,11
2013-10-17,NY,346529,11
2013-10-17,OH,547133,11
2013-10-17,OK,130411,11
2013-10-17,OR,70432,11
2013-10-17,PA,408186,11
2013-10-17,SC,188759,11
2013-10-17,SD,12437,11
2013-10-17,TN,198727,11
2013-10-17,TX,1572367,11
2013-10-17,UT,93493,11
2013-10-17,VA,151418,11
2013-10-17,VT,10128,11
2013-10-17,WA,272343,11
2013-10-17,WI,164434,11
2013-10-17,WV,56989,11
2013-10-17,WY,3827,11
2013-10-18,AL,225333,12
2013-10-18,AR,45999,12
2013-10-18,AZ,311021,12
2013-10-18,CA,1919082,12
2013-10-18,CO,169146,12
2013-10-18,CT,178814,12
2013-10-18,DE,14692,12
2013-10-18,FL,852472,12
2013-10-18,GA,429139,12
2013-10-18,IA,96700,12
2013-10-18,ID,29362,12
2013-10-18,IL,117303,12
2013-10-18,IN,198286,12
2013-10-18,KS,92232,12
2013-10-18,KY,68890,12
2013-10-18,LA,221478,12
2013-10-18,MA,64455,12
2013-10-18,MD,176952,12
2013-10-18,ME,31573,12
2013-10-18,MI,500074,12
2013-10-18,MN,30399,12
2013-10-18,MO,47328,12
2013-10-18,MS,38679,12
2013-10-18,MT,7717,12
2013-10-18,NC,287893,12
2013-10-18,ND,3759,12
2013-10-18,NE,22464,12
2013-10-18,NH,15761,12
2013-10-18,NJ,57564,12
2013-10-18,NM,49545,12
2013-10-18,NV,166010,12
2013-10-18,NY,307619,12
2013-10-18,OH,485567,12
2013-10-18,OK,144520,12
2013-10-18,OR,59360,12
2013-10-18,PA,367619,12
2013-10-18,SC,175370,12
2013-10-18,SD,12645,12
2013-10-18,TN,200973,12
2013-10-18,TX,1450399,12
2013-10-18,UT,89785,12
2013-10-18,VA,134969,12
2013-10-18,VT,9257,12
2013-10-18,WA,247857,12
2013-10-18,WI,166659,12
2013-10-18,WV,52011,12
2013-10-18,WY,2918,12
2013-10-19,AL,272620,13
2013-10-19,AR,44084,13
2013-10-19,AZ,306326,13
2013-10-19,CA,1918109,13
2013-10-19,CO,153371,13
2013-10-19,CT,187253,13
2013-10-19,DE,12883,13
2013-10-19,FL,922743,13
2013-10-19,GA,496196,13
2013-10-19,IA,103636,13
2013-10-19,ID,30341,13
2013-10-19,IL,106393,13
2013-10-19,IN,193022,13
2013-10-19,KS,77136,13
2013-10-19,KY,69876,13
2013-10-19,LA,250680,13
2013-10-19,MA,71349,13
2013-10-19,MD,177456,13
2013-10-19,ME,32676,13
2013-10-19,MI,566888,13
2013-10-19,MN,28890,13
2013-10-19,MO,48410,13
2013-10-19,MS,38845,13
2013-10-19,MT,7351,13
2013-10-19,NC,287893,13
2013-10-19,ND,4389,13
