date,stateCode,total
2013-10-17,MO,45354
2013-10-17,MS,38289
2013-10-17,MT,7548
2013-10-17,NC,317018
2013-10-17,ND,3981
2013-10-17,NE,25005
2013-10-17,NH,17258
2013-10-17,NJ,60772
2013-10-17,NM,53143
2013-10-17,NV,172502
2013-10-17,NY,346529
2013-10-17,OH,547133
2013-10-17,OK,130411
2013-10-17,OR,70432
2013-10-17,PA,408186
2013-10-17,SC,188759
2013-10-17,SD,12437
2013-10-17,TN,198727
2013-10-17,TX,1572367
2013-10-17,UT,93493
2013-10-17,VA,151418
2013-10-17,VT,10128
2013-10-17,WA,272343
2013-10-17,WI,164434
2013-10-17,WV,56989
2013-10-17,WY,3827
2013-10-18,AL,225333
2013-10-18,AR,45999
2013-10-18,AZ,311021
2013-10-18,CA,1919082
2013-10-18,CO,169146
2013-10-18,CT,178814
2013-10-18,DE,14692
2013-10-18,FL,852472
2013-10-18,GA,429139
2013-10-18,IA,96700
2013-10-18,ID,29362
2013-10-18,IL,117303
2013-10-18,IN,198286
2013-10-18,KS,92232
2013-10-18,KY,68890
2013-10-18,LA,221478
2013-10-18,MA,64455
2013-10-18,MD,176952
2013-10-18,ME,31573
2013-10-18,MI,500074
2013-10-18,MN,30399
2013-10-18,MO,47328
2013-10-18,MS,38679
2013-10-18,MT,7717
2013-10-18,NC,287893
2013-10-18,ND,3759
2013-10-18,NE,22464
2013-10-18,NH,15761
2013-10-18,NJ,57564
2013-10-18,NM,49545
2013-10-18,NV,166010
2013-10-18,NY,307619
2013-10-18,OH,485567
2013-10-18,OK,144520
2013-10-18,OR,59360
2013-10-18,PA,367619
2013-10-18,SC,175370
2013-10-18,SD,12645
2013-10-18,TN,200973
2013-10-18,TX,1450399
2013-10-18,UT,89785
2013-10-18,VA,134969
2013-10-18,VT,9257
2013-10-18,WA,247857
2013-10-18,WI,166659
2013-10-18,WV,52011
2013-10-18,WY,2918
2013-10-19,AL,272620
2013-10-19,AR,44084
2013-10-19,AZ,306326
2013-10-19,CA,1918109
2013-10-19,CO,153371
2013-10-19,CT,187253
2013-10-19,DE,12883
2013-10-19,FL,922743
2013-10-19,GA,496196
2013-10-19,IA,103636
2013-10-19,ID,30341
2013-10-19,IL,106393
2013-10-19,IN,193022
2013-10-19,KS,77136
2013-10-19,KY,69876
2013-10-19,LA,250680
2013-10-19,MA,71349
2013-10-19,MD,177456
2013-10-19,ME,32676
2013-10-19,MI,566888
2013-10-19,MN,28890
2013-10-19,MO,48410
2013-10-19,MS,38845
2013-10-19,MT,7351
2013-10-19,NC,287893
2013-10-19,ND,4389
2013-10-19,NE,18439
2013-10-19,NH,14813
2013-10-19,NJ,61005
2013-10-19,NM,52615
2013-10-19,NV,168511
2013-10-19,NY,303204
2013-10-19,OH,539393
2013-10-19,OK,139636
2013-10-19,OR,57099
2013-10-19,PA,365917
2013-10-19,SC,218891
2013-10-19,SD,13190
2013-10-19,TN,220283
2013-10-19,TX,1479499
2013-10-19,UT,93654
2013-10-19,VA,150227
2013-10-19,VT,9251
2013-10-19,WA,259251
2013-10-19,WI,165989
2013-10-19,WV,56273
2013-10-19,WY,3333
2013-10-20,AL,253747
2013-10-20,AR,46263
2013-10-20,AZ,313098
2013-10-20,CA,1968950
2013-10-20,CO,177673
2013-10-20,CT,215434
2013-10-20,DE,21037
2013-10-20,FL,979606
2013-10-20,GA,488952
2013-10-20,IA,103579
2013-10-20,ID,34398
2013-10-20,IL,121674
2013-10-20,IN,234989
2013-10-20,KS,91288
2013-10-20,KY,66787
2013-10-20,LA,263595
2013-10-20,MA,80647
2013-10-20,MD,221192
2013-10-20,ME,34364
2013-10-20,MI,638574
2013-10-20,MN,30522
2013-10-20,MO,46540
2013-10-20,MS,45082
2013-10-20,MT,7975
2013-10-20,NC,318071
2013-10-20,ND,4959
2013-10-20,NE,17077
2013-10-20,NH,18834
2013-10-20,NJ,72639
2013-10-20,NM,60098
2013-10-20,NV,186919
2013-10-20,NY,365771
2013-10-20,OH,619422
2013-10-20,OK,141300
2013-10-20,OR,61233
2013-10-20,PA,450097
2013-10-20,SC,204921
2013-10-20,SD,14274
2013-10-20,TN,218099
2013-10-20,TX,1639808
2013-10-20,UT,109352
2013-10-20,VA,173537
2013-10-20,VT,9295
2013-10-20,WA,266782
2013-10-20,WI,192702
2013-10-20,WV,58834
2013-10-20,WY,3141
2013-10-21,AL,276674
2013-10-21,AR,51222
2013-10-21,AZ,334342
2013-10-21,CA,1978514
2013-10-21,CO,168398
2013-10-21,CT,196518
2013-10-21,DE,20358
2013-10-21,FL,966495
2013-10-21,GA,487490
2013-10-21,IA,114535
2013-10-21,ID,35195
2013-10-21,IL,121313
2013-10-21,IN,232582
2013-10-21,KS,90218
2013-10-21,KY,73442
2013-10-21,LA,279662
2013-10-21,MA,65449
2013-10-21,MD,191031
2013-10-21,ME,30346
2013-10-21,MI,635111
2013-10-21,MN,35931
2013-10-21,MO,48331
2013-10-21,MS,47618
2013-10-21,MT,7934
2013-10-21,NC,324623
2013-10-21,ND,4392
2013-10-21,NE,16935
2013-10-21,NH,14940
2013-10-21,NJ,65602
2013-10-21,NM,57959
2013-10-21,NV,190380
2013-10-21,NY,339278
2013-10-21,OH,592760
2013-10-21,OK,160216
2013-10-21,OR,65380
2013-10-21,PA,416626
2013-10-21,SC,206173
2013-10-21,SD,13116
2013-10-21,TN,217464
2013-10-21,TX,1668931
2013-10-21,UT,119535
2013-10-21,VA,167020
2013-10-21,VT,8227
2013-10-21,WA,285949
2013-10-21,WI,188841
2013-10-21,WV,61733
2013-10-21,WY,2845
2013-10-22,AL,258681
2013-10-22,AR,49226
2013-10-22,AZ,336054
2013-10-22,CA,2032220
2013-10-22,CO,165243
2013-10-22,CT,197151
2013-10-22,DE,17748
2013-10-22,FL,941248
2013-10-22,GA,478425
2013-10-22,IA,121734
2013-10-22,ID,35149
2013-10-22,IL,128172
2013-10-22,IN,233902
2013-10-22,KS,86551
2013-10-22,KY,76329
2013-10-22,LA,262186
2013-10-22,MA,73008
2013-10-22,MD,187962
2013-10-22,ME,34939
2013-10-22,MI,608055
2013-10-22,MN,34954
2013-10-22,MO,46464
2013-10-22,MS,46064
2013-10-22,MT,6714
2013-10-22,NC,314995
2013-10-22,ND,4551
2013-10-22,NE,21647
2013-10-22,NH,14349
2013-10-22,NJ,64305
2013-10-22,NM,59442
2013-10-22,NV,178540
2013-10-22,NY,348452
2013-10-22,OH,576315
2013-10-22,OK,148153
2013-10-22,OR,64262
2013-10-22,PA,416493
2013-10-22,SC,197080
2013-10-22,SD,12393
2013-10-22,TN,204163
2013-10-22,TX,1603674
2013-10-22,UT,117631
2013-10-22,VA,165678
2013-10-22,VT,9012
2013-10-22,WA,272333
2013-10-22,WI,182196
2013-10-22,WV,60092
2013-10-22,WY,2871
2013-10-23,AL,265342
2013-10-23,AR,46748
2013-10-23,AZ,348429
2013-10-23,CA,2005895
2013-10-23,CO,165613
2013-10-23,CT,209293
2013-10-23,DE,19801
2013-10-23,FL,939426
2013-10-23,GA,458789
2013-10-23,IA,118279
2013-10-23,ID,32814
2013-10-23,IL,118580
2013-10-23,IN,230517
2013-10-23,KS,87048
2013-10-23,KY,76225
2013-10-23,LA,259816
2013-10-23,MA,74354
2013-10-23,MD,189636
2013-10-23,ME,34660
2013-10-23,MI,611938
2013-10-23,MN,37820
2013-10-23,MO,51707
2013-10-23,MS,42885
2013-10-23,MT,7277
2013-10-23,NC,308752
2013-10-23,ND,3849
2013-10-23,NE,21853
2013-10-23,NH,16349
2013-10-23,NJ,65996
2013-10-23,NM,57486
2013-10-23,NV,182815
2013-10-23,NY,367390
2013-10-23,OH,566722
2013-10-23,OK,148710
2013-10-23,OR,63543
2013-10-23,PA,429823
2013-10-23,SC,197197
2013-10-23,SD,11973
2013-10-23,TN,213342
2013-10-23,TX,1610676
2013-10-23,UT,113480
2013-10-23,VA,171966
2013-10-23,VT,10884
2013-10-23,WA,270622
2013-10-23,WI,185441
2013-10-23,WV,59479
2013-10-23,WY,3440
2013-10-24,AL,251529
2013-10-24,AR,49420
2013-10-24,AZ,338732
2013-10-24,CA,2003656
2013-10-24,CO,160706
2013-10-24,CT,194553
2013-10-24,DE,18369
2013-10-24,FL,928589
2013-10-24,GA,468091
2013-10-24,IA,113307
2013-10-24,ID,33664
2013-10-24,IL,114182
