date,stateCode,word,cases
2013-12-22,MO,boi,2
2013-12-22,MO,bruhhh,0
2013-12-22,MO,fleek,0
2013-12-22,MS,anime,0
2013-12-22,MS,bae,40
2013-12-22,MS,boi,5
2013-12-22,MS,bruhhh,0
2013-12-22,MS,fleek,0
2013-12-22,MT,anime,0
2013-12-22,MT,bae,0
2013-12-22,MT,boi,0
2013-12-22,MT,bruhhh,0
2013-12-22,MT,fleek,0
2013-12-22,NC,anime,4
2013-12-22,NC,bae,132
2013-12-22,NC,boi,12
2013-12-22,NC,bruhhh,2
2013-12-22,NC,fleek,0
2013-12-22,ND,anime,0
2013-12-22,ND,bae,0
2013-12-22,ND,boi,0
2013-12-22,ND,bruhhh,0
2013-12-22,ND,fleek,0
2013-12-22,NE,anime,0
2013-12-22,NE,bae,2
2013-12-22,NE,boi,0
2013-12-22,NE,bruhhh,0
2013-12-22,NE,fleek,0
2013-12-22,NH,anime,0
2013-12-22,NH,bae,2
2013-12-22,NH,boi,0
2013-12-22,NH,bruhhh,0
2013-12-22,NH,fleek,0
2013-12-22,NJ,anime,0
2013-12-22,NJ,bae,17
2013-12-22,NJ,boi,1
2013-12-22,NJ,bruhhh,0
2013-12-22,NJ,fleek,0
2013-12-22,NM,anime,0
2013-12-22,NM,bae,3
2013-12-22,NM,boi,2
2013-12-22,NM,bruhhh,0
2013-12-22,NM,fleek,0
2013-12-22,NV,anime,4
2013-12-22,NV,bae,35
2013-12-22,NV,boi,3
2013-12-22,NV,bruhhh,2
2013-12-22,NV,fleek,0
2013-12-22,NY,anime,2
2013-12-22,NY,bae,34
2013-12-22,NY,boi,6
2013-12-22,NY,bruhhh,1
2013-12-22,NY,fleek,0
2013-12-22,OH,anime,8
2013-12-22,OH,bae,198
2013-12-22,OH,boi,26
2013-12-22,OH,bruhhh,3
2013-12-22,OH,fleek,0
2013-12-22,OK,anime,0
2013-12-22,OK,bae,24
2013-12-22,OK,boi,4
2013-12-22,OK,bruhhh,0
2013-12-22,OK,fleek,0
2013-12-22,OR,anime,0
2013-12-22,OR,bae,3
2013-12-22,OR,boi,1
2013-12-22,OR,bruhhh,0
2013-12-22,OR,fleek,0
2013-12-22,PA,anime,2
2013-12-22,PA,bae,62
2013-12-22,PA,boi,7
2013-12-22,PA,bruhhh,0
2013-12-22,PA,fleek,0
2013-12-22,SC,anime,2
2013-12-22,SC,bae,96
2013-12-22,SC,boi,7
2013-12-22,SC,bruhhh,0
2013-12-22,SC,fleek,0
2013-12-22,SD,anime,0
2013-12-22,SD,bae,0
2013-12-22,SD,boi,0
2013-12-22,SD,bruhhh,1
2013-12-22,SD,fleek,0
2013-12-22,TN,anime,2
2013-12-22,TN,bae,26
2013-12-22,TN,boi,4
2013-12-22,TN,bruhhh,1
2013-12-22,TN,fleek,0
2013-12-22,TX,anime,17
2013-12-22,TX,bae,895
2013-12-22,TX,boi,42
2013-12-22,TX,bruhhh,18
2013-12-22,TX,fleek,0
2013-12-22,UT,anime,0
2013-12-22,UT,bae,9
2013-12-22,UT,boi,1
2013-12-22,UT,bruhhh,0
2013-12-22,UT,fleek,0
