word,monthyear,stateCode,Region,cases,totalTokens,tokenProp
bae,2014-10-01,CO,West,1656,3748065,4.418279832393515e-4
bae,2014-10-01,CT,Northeast,2238,3489634,6.413280017331331e-4
bae,2014-10-01,DE,South,113,255023,4.430972892641056e-4
bae,2014-10-01,FL,South,10552,19115167,5.520223809710896e-4
bae,2014-10-01,GA,South,5834,9861720,5.915803734034225e-4
bae,2014-10-01,IA,Midwest,978,1816715,5.383343011974911e-4
bae,2014-10-01,ID,West,310,637309,4.8642024512442157e-4
bae,2014-10-01,IL,Midwest,1144,1753514,6.524042579642935e-4
bae,2014-10-01,IN,Midwest,2151,4115137,5.227043473886774e-4
bae,2014-10-01,KS,Midwest,721,1428194,5.048333769781977e-4
bae,2014-10-01,KY,South,548,1190600,4.6027213169830337e-4
bae,2014-10-01,LA,South,4057,5534126,7.330877540554732e-4
bae,2014-10-01,MA,Northeast,597,1014881,5.882463067098507e-4
bae,2014-10-01,MD,South,1848,3680095,5.021609496493976e-4
bae,2014-10-01,ME,Northeast,191,519361,3.677596122927983e-4
bae,2014-10-01,MI,Midwest,5722,10197403,5.611232585394536e-4
bae,2014-10-01,MN,Midwest,197,451155,4.366570247475923e-4
bae,2014-10-01,MO,Midwest,341,917755,3.7155885830096266e-4
bae,2014-10-01,MS,South,681,914566,7.446154788172751e-4
bae,2014-10-01,MT,West,34,134184,2.533834138198295e-4
bae,2014-10-01,NC,South,3501,5802163,6.033956646857388e-4
bae,2014-10-01,ND,Midwest,31,58793,5.27273655026959e-4
bae,2014-10-01,NE,Midwest,114,360367,3.163441713586427e-4
bae,2014-10-01,NH,Northeast,99,247449,4.000824412303141e-4
bae,2014-10-01,NJ,Northeast,677,984686,6.875288162927065e-4
bae,2014-10-01,NM,West,611,1142649,5.347223863146075e-4
bae,2014-10-01,NV,West,1552,3791586,4.093273896464435e-4
bae,2014-10-01,NY,Northeast,3013,5637041,5.345002812645854e-4
bae,2014-10-01,OH,Midwest,6236,10474223,5.953663579627815e-4
bae,2014-10-01,OK,South,1689,2785099,6.064416381607978e-4
bae,2014-10-01,OR,West,531,1268852,4.184885234842204e-4
bae,2014-10-01,PA,Northeast,3076,6258690,4.914766508646378e-4
bae,2014-10-01,SC,South,1836,3248846,5.651237393215929e-4
bae,2014-10-01,SD,Midwest,109,243317,4.47975275052709e-4
bae,2014-10-01,TN,South,1872,3774528,4.959560506638181e-4
bae,2014-10-01,TX,South,19556,32350924,6.044958715862336e-4
bae,2014-10-01,UT,West,1150,2087056,5.510154015991904e-4
bae,2014-10-01,VA,South,1353,2664480,5.0779138893893e-4
bae,2014-10-01,VT,Northeast,52,155509,3.343857911760734e-4
bae,2014-10-01,WA,West,2282,5302205,4.303869805109384e-4
bae,2014-10-01,WI,Midwest,1588,2913243,5.450969932820571e-4
bae,2014-10-01,WV,South,420,814755,5.154923872820664e-4
bae,2014-10-01,WY,West,18,67301,2.6745516411346044e-4
bae,2014-11-01,AL,South,2972,4253316,6.987489290708708e-4
bae,2014-11-01,AR,South,391,747312,5.232085126426445e-4
bae,2014-11-01,AZ,West,2966,6496337,4.565649842365013e-4
bae,2014-11-01,CA,West,21880,41977896,5.212266951159248e-4
bae,2014-11-01,CO,West,1744,3582264,4.868429574146406e-4
bae,2014-11-01,CT,Northeast,2294,3581521,6.405099956135954e-4
bae,2014-11-01,DE,South,145,271249,5.345641827250976e-4
bae,2014-11-01,FL,South,9489,18237091,5.203132451332287e-4
bae,2014-11-01,GA,South,5490,9227075,5.949881192035396e-4
bae,2014-11-01,IA,Midwest,842,1750214,4.810840274389303e-4
bae,2014-11-01,ID,West,303,650958,4.6546781820025257e-4
bae,2014-11-01,IL,Midwest,1146,1756370,6.524821079840808e-4
bae,2014-11-01,IN,Midwest,1945,4093664,4.751244850578846e-4
bae,2014-11-01,KS,Midwest,619,1327923,4.6614148561324715e-4
bae,2014-11-01,KY,South,589,1115993,5.277810882326323e-4
bae,2014-11-01,LA,South,4080,5601268,7.284064965290002e-4
bae,2014-11-01,MA,Northeast,470,933113,5.036903354684802e-4
bae,2014-11-01,MD,South,1949,3677732,5.299461733481396e-4
bae,2014-11-01,ME,Northeast,150,527085,2.845840803665443e-4
bae,2014-11-01,MI,Midwest,5634,10205121,5.520757666665589e-4
bae,2014-11-01,MN,Midwest,210,400219,5.247127197859172e-4
bae,2014-11-01,MO,Midwest,309,836124,3.695624094033899e-4
bae,2014-11-01,MS,South,732,899318,8.139501266515292e-4
bae,2014-11-01,MT,West,19,108191,1.7561534693273932e-4
bae,2014-11-01,NC,South,3410,5819724,5.85938439692329e-4
bae,2014-11-01,ND,Midwest,25,52350,4.775549188156638e-4
bae,2014-11-01,NE,Midwest,140,370071,3.7830578456566445e-4
bae,2014-11-01,NH,Northeast,91,231146,3.9369056786619713e-4
bae,2014-11-01,NJ,Northeast,629,965948,6.511737691884035e-4
bae,2014-11-01,NM,West,431,968274,4.451219386248107e-4
bae,2014-11-01,NV,West,1382,3780870,3.655243369912216e-4
bae,2014-11-01,NY,Northeast,3268,5663287,5.770500417866868e-4
bae,2014-11-01,OH,Midwest,5869,10429803,5.627143676635119e-4
bae,2014-11-01,OK,South,1532,2675510,5.726011115637766e-4
bae,2014-11-01,OR,West,633,1224107,0.00051711165772273175
bae,2014-11-01,PA,Northeast,2915,6069081,4.803033605911669e-4
bae,2014-11-01,SC,South,1915,3095595,6.186209759351595e-4
bae,2014-11-01,SD,Midwest,90,214075,4.204134065164078e-4
bae,2014-11-01,TN,South,1505,3712058,4.054354754155242e-4
bae,2014-11-01,TX,South,17774,30943596,5.743999501544682e-4
bae,2014-11-01,UT,West,974,1971751,4.939771806886366e-4
bae,2014-11-01,VA,South,1272,2614470,4.8652308115985265e-4
bae,2014-11-01,VT,Northeast,42,141621,2.9656618721799735e-4
bae,2014-11-01,WA,West,2332,5309054,4.3924962902995525e-4
bae,2014-11-01,WI,Midwest,1246,2666282,4.6731741053646986e-4
bae,2014-11-01,WV,South,382,815981,4.6814815541048135e-4
bae,2014-11-01,WY,West,12,69638,1.7231971050288636e-4
